INSURANCE_TYPE,PREMIUM_AMOUNT,CLAIM_AMOUNT,CITY,STATE,POSTAL_CODE,MARITAL_STATUS,AGE,TENURE,EMPLOYMENT_STATUS,NO_OF_FAMILY_MEMBERS,RISK_SEGMENTATION,HOUSE_TYPE,SOCIAL_CLASS,CUSTOMER_EDUCATION_LEVEL,CLAIM_STATUS,INCIDENT_SEVERITY,AUTHORITY_CONTACTED,ANY_INJURY,POLICE_REPORT_AVAILABLE,INCIDENT_STATE,INCIDENT_CITY,INCIDENT_HOUR_OF_THE_DAY,AGENT_ID,VENDOR_ID,AGENT_NAME,DATE_OF_JOINING,AGENT_CITY,AGENT_STATE,AGENT_POSTAL_CODE,EMP_ROUTING_NUMBER,EMP_ACCT_NUMBER,VENDOR_NAME,VENDOR_CITY,VENDOR_STATE,VENDOR_POSTAL_CODE,TRANSACTION_DAY,TRANSACTION_MONTH,TRANSACTION_YEAR,POLICY_EFF_DAY,POLICY_EFF_MONTH,POLICY_EFF_YEAR,LOSS_DAY,LOSS_MONTH,LOSS_YEAR,REPORT_DAY,REPORT_MONTH,REPORT_YEAR
Mobile,8.87,300,Washington,DC,20020,N,61,58,Y,2,L,Mortgage,MI,Masters,A,Major Loss,Ambulance,1,1,CA,Oakland,1,AGENT00406,VNDR00307,John Hill,1999-06-18,Arvada,CO,80003,17576899,EAXZ53556452280292,"Reeves, Brown and Burch",Fayetteville,AR,72704,29,7,2020,16,12,2015,14,7,2020,19,7,2020
Health,153.42,16000,Edmond,OK,73013,Y,47,17,Y,2,M,Mortgage,MI,High School,D,Total Loss,Ambulance,1,0,OK,Midwest City,8,AGENT00666,VNDR00265,Fernando Tippets,2003-11-29,Edmond,OK,73013,66460095,RCFC24798885219758,Sawyer-Pineda,Falmouth,MA,2540,29,7,2020,20,3,2013,23,7,2020,25,7,2020
Life,52.39,32000,Washington,DC,20020,Y,29,25,Y,4,M,Mortgage,LI,Bachelor,D,Minor Loss,Ambulance,1,0,FL,Panama City Beach,16,AGENT00346,VNDR00025,Ruby Candelaria,2002-08-17,Vershire,VT,5079,121582656,TMQF02822563758157,Wright Group,Fayetteville,AR,72703,29,7,2020,26,12,2013,13,7,2020,18,7,2020
Life,66.54,58000,Brockton,MA,2301,N,52,101,Y,2,H,Own,MI,Bachelor,A,Major Loss,Ambulance,0,1,TN,Nashville,12,AGENT00482,VNDR00391,Jose Dame,2011-01-14,El Cerrito,CA,94530,53663122,HPOF21663336466032,Frazier-Butler,Glendale,AZ,85301,29,7,2020,15,6,2013,12,7,2020,17,7,2020
Property,109.2,10000,Manchester,CT,6040,Y,56,13,Y,4,L,Rent,MI,High School,A,Major Loss,Police,1,0,FL,Panama City,7,AGENT00400,VNDR00499,Sarah Brown,2000-02-16,Newport,VT,5855,61388664,MRDK98065587889550,"Green, Hernandez and Conley",Savannah,GA,31410,29,7,2020,8,9,2014,25,7,2020,26,7,2020
Mobile,11.1,600,Fayetteville,AR,72704,Y,64,25,Y,7,H,Rent,HI,High School,A,Total Loss,Ambulance,0,0,VT,Underhill,7,AGENT00504,VNDR00190,Chris Trahan,1992-10-28,Montgomery,AL,36117,18339226,MHRM45195396069914,Short Inc,Arvada,CO,80002,29,7,2020,19,6,2012,10,7,2020,15,7,2020
Health,118.97,17000,Peabody,MA,1960,Y,29,82,N,7,L,Own,LI,High School,A,Major Loss,Police,0,0,MA,Peabody,23,AGENT00558,VNDR00039,Cecile Pasceri,1993-04-04,Annapolis,MD,21401,23857434,WBAI68516250478999,Thomas and Sons,Beverly Hills,FL,34465,29,7,2020,3,9,2019,19,7,2020,22,7,2020
Travel,84.84,2000,Washington,DC,20002,N,53,104,Y,4,M,Own,HI,Masters,A,Minor Loss,Ambulance,1,1,TN,Nashville,16,AGENT00091,VNDR00364,Marie Driver,1998-04-27,Hayward,CA,94541,21835607,GPYT43428078920971,Medina-Wilkinson,Baldwin Park,CA,91706,29,7,2020,11,10,2015,26,7,2020,26,7,2020
Property,108.87,24000,Nashville,TN,37215,Y,58,108,Y,2,L,Mortgage,MI,MD,A,Major Loss,Other,1,1,MA,Hingham,5,AGENT00866,VNDR00098,Fredrick Barcia,2015-03-29,Washington,DC,20007,45128921,HVAI70769552722930,Rodriguez Inc,Washington,DC,20002,29,7,2020,23,6,2016,27,7,2020,27,7,2020
Mobile,6.75,600,Norman,OK,73069,N,25,16,Y,2,M,Own,LI,College,A,Total Loss,Ambulance,1,1,AR,Fayetteville,15,AGENT00456,VNDR00090,David Harris,2015-11-28,Pooler,GA,31322,83416734,UZBN08780943180288,Harris-Joyce,Fayetteville,AR,72701,29,7,2020,15,3,2019,14,7,2020,19,7,2020
Travel,76.57,4000,Arvada,CO,80004,N,27,118,Y,2,L,Mortgage,HI,Bachelor,A,Total Loss,Other,0,1,AL,Montgomery,20,AGENT00418,VNDR00462,Laura Harris,2003-01-18,Chelmsford,MA,1863,77423296,TEUS71549591731930,"Gardner, May and Wallace",Arvada,CO,80004,29,7,2020,9,11,2013,12,7,2020,17,7,2020
Mobile,10.82,300,Barre,VT,5641,Y,29,36,Y,3,L,Own,HI,Bachelor,A,Minor Loss,Ambulance,0,1,CT,Manchester,0,AGENT01156,VNDR00419,Margaret Wehling,1997-09-09,Fayetteville,AR,72703,123628754,ZWRE47036500901617,"Garcia, Robles and Meza",Montgomery,AL,36117,29,7,2020,4,2,2018,10,7,2020,15,7,2020
Mobile,6.39,700,Tybee Island,GA,31328,Y,25,101,Y,2,H,Mortgage,LI,Bachelor,A,Total Loss,Ambulance,1,1,KY,Louisville,15,AGENT01152,VNDR00429,Michael Linzan,2012-01-22,Glendale,AZ,85305,128617087,TRZR67662304561493,Mora-Rivas,Mammoth Lakes,CA,93546,29,7,2020,22,9,2016,21,7,2020,24,7,2020
Life,61.55,83000,Hayward,CA,94544,Y,39,66,Y,4,L,Mortgage,MI,Bachelor,A,Major Loss,Police,0,1,TN,Nashville,7,AGENT00490,VNDR00378,Kenneth Elmer,2015-06-12,Glendale,AZ,85302,73241650,MKKM02244049362842,"Reed, Bartlett and Miles",Savannah,GA,31401,29,7,2020,11,10,2013,19,7,2020,22,7,2020
Life,84.16,14000,Holden,MA,1520,N,42,36,Y,5,L,Rent,MI,PhD,A,Major Loss,Police,1,1,AR,Fayetteville,7,AGENT01145,VNDR00575,Jacqueline Scott,2005-09-08,Montgomery,AL,36117,14574179,NKXW31315566001212,Buck-Tran,Manchester,CT,6040,29,7,2020,30,8,2015,20,7,2020,23,7,2020
Life,88.16,21000,Panama City,FL,32405,Y,62,13,Y,6,M,Rent,HI,High School,A,Minor Loss,Ambulance,0,1,FL,Panama City,20,AGENT00041,VNDR00395,John Tallman,2006-04-22,Del City,OK,73115,38768204,YCPM81152663783872,Mitchell-Dalton,Fayetteville,AR,72703,29,7,2020,13,1,2020,19,7,2020,22,7,2020
Mobile,8.03,100,Manchester,CT,6042,N,33,36,Y,7,H,Own,LI,Masters,A,Total Loss,Ambulance,1,1,CA,Castro Valley,11,AGENT01163,VNDR00594,William Rodriguez,2011-07-02,Manchester,CT,6042,16612903,CJAB01621611505729,Stewart-Bennett,Savannah,GA,31419,29,7,2020,20,12,2012,11,7,2020,16,7,2020
Property,115.25,32000,Hayward,CA,94544,Y,36,62,Y,7,M,Mortgage,MI,Bachelor,A,Total Loss,Police,1,1,CA,Oakland,16,AGENT00849,VNDR00385,Debbra Collins,2007-03-13,Fremont,CA,94536,90097900,TBYC82344045862959,"Smith, Ayala and West",Montgomery,AL,36110,29,7,2020,9,1,2018,16,7,2020,21,7,2020
Motor,84.23,7000,Edgewater,MD,21037,Y,29,112,Y,3,M,Own,MI,High School,D,Major Loss,Ambulance,1,0,MD,Crofton,18,AGENT00407,VNDR00423,Tanner Payne,1990-11-18,Nashville,TN,37013,40339414,DLXY13136537397170,"Maynard, Foster and Rangel",Nashville,TN,37013,29,7,2020,10,4,2011,15,7,2020,20,7,2020
Motor,82.4,7000,Nashville,TN,37211,Y,62,34,Y,3,L,Mortgage,LI,Bachelor,A,Total Loss,Police,1,1,AK,Anchorage,6,AGENT00093,VNDR00544,Christian Rau,2015-01-13,Brentwood,TN,37027,52980550,PBOE57461807615642,"Miller, Jensen and Bridges",Crofton,MD,21114,29,7,2020,22,12,2019,20,7,2020,23,7,2020
Health,108.98,20000,Oklahoma City,OK,73112,Y,35,47,Y,3,M,Rent,MI,Bachelor,A,Major Loss,Ambulance,1,1,TN,Nashville,9,AGENT00361,VNDR00046,Margaret Glover,1995-10-13,Panama City,FL,32408,56851164,NIML29802849665247,Anderson Inc,Montgomery,AL,36113,29,7,2020,14,11,2012,23,7,2020,25,7,2020
Motor,120.92,9000,Louisville,KY,40203,Y,38,113,Y,2,M,Mortgage,MI,High School,A,Minor Loss,Police,1,0,DC,Washington,3,AGENT00026,VNDR00234,Josephine Amorosi,2011-09-23,Fayetteville,AR,72703,90344527,OFDO18308945661277,Herrera LLC,Lynn Haven,FL,32444,29,7,2020,27,3,2013,10,7,2020,15,7,2020
Life,99.28,34000,Nashville,TN,37138,Y,55,44,Y,4,M,Own,LI,Bachelor,A,Major Loss,Police,0,0,AZ,Glendale,17,AGENT00298,VNDR00193,Mickey Flanigan,2013-12-13,Arvada,CO,80005,50309191,WGRV76341037686492,Hensley-Day,Fayetteville,AR,72703,29,7,2020,22,10,2012,15,7,2020,20,7,2020
Mobile,11.38,400,Savannah,GA,31404,N,41,77,Y,2,M,Own,HI,High School,A,Major Loss,Police,1,1,FL,Panama City,21,AGENT01182,VNDR00425,Micah Tucker,2008-10-02,Pleasanton,CA,94588,75949031,LYFY39514467763614,Nguyen-Hess,Nashville,TN,37221,29,7,2020,21,6,2018,20,7,2020,23,7,2020
Life,82.99,41000,Sebastopol,CA,95472,Y,30,92,Y,6,M,Own,LI,High School,A,Minor Loss,Other,1,1,AK,Anchorage,17,AGENT00646,VNDR00162,Emma Tubbs,2000-07-19,Arvada,CO,80003,29124608,OLLC58353704570145,"Kerr, Gutierrez and Dennis",Savannah,GA,31406,30,7,2020,3,7,2014,26,7,2020,27,7,2020
Health,174.84,3000,Louisville,KY,40213,Y,31,9,Y,5,M,Rent,LI,Bachelor,A,Major Loss,Ambulance,1,1,CO,Greeley,16,AGENT00013,VNDR00122,Carolyn Jones,2004-06-03,Oakland,CA,94608,22235031,OBTC64157859730067,Valentine Inc,Southport,FL,32409,30,7,2020,6,5,2013,10,7,2020,15,7,2020
Health,192.39,1000,Fayetteville,AR,72701,N,59,77,Y,2,L,Rent,MI,High School,A,Total Loss,Ambulance,1,0,MA,Attleboro,17,AGENT01060,VNDR00314,Lesa Minton,1993-10-19,Crofton,MD,21114,73554389,LADK56297497118028,Clarke Ltd,Hanover,MD,21076,30,7,2020,14,11,2016,19,7,2020,24,7,2020
Health,197.71,6000,Panama City,FL,32405,Y,62,81,Y,7,M,Mortgage,MI,MD,A,Minor Loss,Ambulance,1,1,GA,Savannah,14,AGENT00070,VNDR00361,Sylvia Buckley,1996-10-19,Severna Park,MD,21146,124127270,RJVH50696223589264,Boyd-Fleming,Arvada,CO,80005,30,7,2020,11,11,2013,29,7,2020,29,7,2020
Health,195.69,12000,Manchester,CT,6040,N,31,52,N,5,L,Mortgage,LI,Bachelor,A,Major Loss,Police,1,0,MD,Millersville,11,AGENT00947,VNDR00518,Luis Castleman,2008-05-23,Savannah,GA,31404,116360016,DVYX31108568499849,"Gomez, Griffin and Davis",Panama City,FL,32405,30,7,2020,16,11,2017,26,7,2020,27,7,2020
Life,81.28,88000,Oklahoma City,OK,73106,N,42,13,Y,2,M,Mortgage,LI,High School,A,Major Loss,Police,1,1,FL,Lynn Haven,19,AGENT00776,VNDR00297,Joshua Pagano,2007-08-28,Glendale,AZ,85306,51662086,MQOV49257367913158,Wilkins Group,Vacaville,CA,95688,30,7,2020,22,11,2015,12,7,2020,17,7,2020
Mobile,8.9,300,Manchester,CT,6040,N,47,26,Y,5,L,Mortgage,MI,Bachelor,A,Minor Loss,Police,1,0,GA,Savannah,22,AGENT00581,VNDR00117,Angel Elliott,1998-03-27,Bolton,VT,5676,62056791,ADBK63366133318123,"Brown, Baker and Lucas",Edmond,OK,73012,30,7,2020,26,8,2015,10,7,2020,15,7,2020
Travel,81.62,1000,Berkeley,CA,94709,N,61,39,Y,3,L,Mortgage,LI,Masters,D,Major Loss,Ambulance,1,1,MA,Everett,20,AGENT00038,VNDR00001,Harold Ward,1993-01-24,Pooler,GA,31322,114283917,XFPA46888061021143,"King, Proctor and Jones",Fayetteville,AR,72703,30,7,2020,18,8,2019,28,7,2020,28,7,2020
Mobile,8.13,600,Pasadena,MD,21122,N,46,93,Y,2,M,Mortgage,HI,Bachelor,A,Minor Loss,Police,1,0,CT,Manchester,7,AGENT00158,VNDR00244,Jim Rippee,2017-09-21,Louisville,KY,40245,14951860,EAYK96313131410012,Michael LLC,Washington,DC,20002,30,7,2020,10,8,2011,23,7,2020,25,7,2020
Travel,54.14,5000,Oklahoma City,OK,73162,Y,45,47,Y,5,L,Rent,MI,Bachelor,A,Minor Loss,Ambulance,0,1,CT,Manchester,1,AGENT00660,VNDR00107,Ralph Roberson,2006-11-15,Anchorage,AK,99518,115304947,ICDB32128617490150,"Kaiser, Sanford and Lopez",Arvada,CO,80003,30,7,2020,20,1,2016,12,7,2020,17,7,2020
Property,84.19,29000,Boulder,CO,80302,Y,35,36,Y,5,L,Own,MI,College,A,Major Loss,Ambulance,1,1,FL,Panama City,5,AGENT00259,VNDR00315,Jerome Chittenden,2012-09-04,San Leandro,CA,94579,31327626,UGTS19286892131039,Hall-Anderson,Savannah,GA,31404,30,7,2020,21,9,2017,27,7,2020,27,7,2020
Health,127.34,12000,Cambridge,MA,2138,Y,37,54,Y,7,M,Own,LI,High School,A,Total Loss,Ambulance,1,1,TN,Nashville,22,AGENT00318,VNDR00002,Annie Sykes,2010-01-14,Arvada,CO,80003,84587125,RFLE45089183651129,Garcia Ltd,Montgomery,AL,36117,30,7,2020,1,8,2016,24,7,2020,26,7,2020
Health,164.81,12000,Nashville,TN,37221,Y,33,48,Y,3,L,Mortgage,MI,MD,A,Minor Loss,Ambulance,1,1,CA,Mountain View,20,AGENT00379,VNDR00488,Tracy Straight,1995-02-19,Aurora,CO,80011,63458958,OVEJ89780285680805,Walker-Ingram,Fremont,CA,94536,30,7,2020,12,6,2015,28,7,2020,28,7,2020
Health,102.25,9000,Manchester,CT,6042,Y,55,96,Y,3,M,Own,HI,Masters,A,Total Loss,Ambulance,1,1,AK,Anchorage,7,AGENT00981,VNDR00317,Kevin Marshall,1999-10-08,Anchorage,AK,99501,88699459,IFND43458415973807,"Gonzales, Collins and Rose",Montgomery,AL,36117,30,7,2020,19,9,2011,18,7,2020,23,7,2020
Health,161.88,12000,San Leandro,CA,94578,N,38,35,Y,2,L,Rent,LI,Masters,A,Minor Loss,Ambulance,0,1,MA,Medford,5,AGENT00205,VNDR00523,Rebekah Dawson,2010-02-26,Washington,DC,20003,94971213,QOVO18132119366727,Baker Ltd,Nashville,TN,37216,30,7,2020,1,5,2013,14,7,2020,19,7,2020
Health,112.91,6000,Haverhill,MA,1830,N,58,49,Y,7,H,Rent,MI,Bachelor,A,Total Loss,Police,0,1,CA,Bakersfield,11,AGENT00591,VNDR00451,Jill Noble,2001-12-16,Crownsville,MD,21032,85168310,KDJO86436904919476,"Hicks, Patton and Cook",Anchorage,AK,99507,30,7,2020,8,2,2013,26,7,2020,27,7,2020
Mobile,8.33,200,Fayetteville,AR,72701,N,46,110,Y,3,M,Rent,MI,High School,A,Major Loss,Police,1,1,AK,Anchorage,19,AGENT00620,VNDR00190,Bobbie Burwell,2007-04-17,Arvada,CO,80003,13174004,YRFO26788026017179,Short Inc,Arvada,CO,80002,30,7,2020,7,6,2013,16,7,2020,21,7,2020
Mobile,10.25,500,Saint Albans City,VT,5478,Y,43,87,Y,2,M,Rent,MI,Bachelor,A,Minor Loss,Ambulance,0,0,AZ,Waddell,6,AGENT00320,VNDR00307,Melody Lopez,1998-01-13,Glendale,AZ,85308,78952070,ZFUB55016113437449,"Reeves, Brown and Burch",Fayetteville,AR,72704,30,7,2020,23,10,2015,18,7,2020,23,7,2020
Motor,101.72,8000,Nashville,TN,37215,N,46,65,Y,7,M,Rent,HI,MD,A,Minor Loss,Ambulance,1,0,FL,Panama City Beach,7,AGENT00046,VNDR00228,William Ramos,2001-11-11,Hayward,CA,94541,74580381,XAYL42110131828573,"Bell, Hernandez and Reynolds",Edmond,OK,73012,30,7,2020,14,9,2013,10,7,2020,15,7,2020
Travel,95.57,5000,Lynn Haven,FL,32444,Y,59,50,Y,3,M,Rent,MI,Masters,A,Minor Loss,Ambulance,1,1,VT,Essex,9,AGENT00623,VNDR00407,William Crume,1993-01-23,Louisville,KY,40245,116603838,UZFW20387729447576,"Wilson, Acosta and Chapman",Savannah,GA,31419,31,7,2020,25,9,2012,20,7,2020,25,7,2020
Property,85.75,26000,Montgomery,AL,36117,Y,55,54,Y,3,L,Own,MI,College,A,Total Loss,Ambulance,0,0,KY,Louisville,22,AGENT00465,VNDR00239,Allison Taylor,2012-09-03,Glendale,AZ,85301,126070532,XUJY57155767436014,Brooks-Bowen,Oklahoma City,OK,73112,31,7,2020,11,8,2013,29,7,2020,29,7,2020
Life,90.81,72000,Garden City,GA,31408,Y,25,33,Y,5,M,Own,HI,Masters,A,Major Loss,Police,1,0,VT,Essex,14,AGENT01094,VNDR00052,Robert Venable,1997-04-15,Saint Albans City,VT,5478,69952254,TOGM23655710729269,Garcia-Brown,Lyndon,VT,5851,31,7,2020,26,7,2014,25,7,2020,27,7,2020
Life,86.92,76000,Norman,OK,73072,Y,28,33,Y,2,M,Mortgage,HI,High School,A,Total Loss,Ambulance,1,1,MA,Burlington,7,AGENT00973,VNDR00096,Michael Chan,2012-12-07,Savannah,GA,31406,89936373,ZSAS43056927949472,Villanueva Ltd,Arvada,CO,80003,31,7,2020,3,2,2014,13,7,2020,18,7,2020
Mobile,6.82,300,Panama City,FL,32404,Y,34,74,N,5,M,Mortgage,HI,Bachelor,D,Minor Loss,Police,0,0,CT,Manchester,13,AGENT00039,VNDR00150,Jeremy Fields,2002-06-10,Louisville,KY,40204,128039908,NFAG41955904385274,Moreno LLC,Nashville,TN,37115,31,7,2020,29,12,2014,29,7,2020,29,7,2020
Travel,55.49,4000,Louisville,KY,40291,N,34,43,Y,2,L,Mortgage,MI,High School,A,Total Loss,Police,1,1,AL,Montgomery,9,AGENT00286,VNDR00120,Hans Woodward,1994-04-13,Freetown,MA,2717,76157974,XRVA66616546586512,Cunningham-Harrison,Brentwood,TN,37027,31,7,2020,25,1,2018,12,7,2020,17,7,2020
Life,69.69,98000,Glendale,AZ,85306,N,26,70,Y,2,L,Rent,LI,Bachelor,A,Total Loss,Ambulance,0,1,AZ,Glendale,6,AGENT00679,VNDR00169,Clara Barnett,1994-08-25,Savannah,GA,31405,90981553,GBEQ56216719351752,Hicks Group,Fayetteville,AR,72703,31,7,2020,15,10,2016,20,7,2020,25,7,2020
Motor,113.27,10000,Medford,MA,2155,N,47,111,Y,2,H,Rent,MI,High School,A,Major Loss,Police,1,1,MD,Glen Burnie,2,AGENT00259,VNDR00523,Jerome Chittenden,2012-09-04,San Leandro,CA,94579,31327626,UGTS19286892131039,Baker Ltd,Nashville,TN,37216,31,7,2020,27,7,2013,27,7,2020,28,7,2020
Health,146.17,3000,Anchorage,AK,99518,N,39,26,N,5,L,Rent,MI,High School,A,Total Loss,Ambulance,1,1,MD,Glen Burnie,1,AGENT00757,VNDR00521,Nora Stump,2004-05-11,Montgomery,AL,36110,86624507,UUIU01234750263613,"Gordon, Young and Webster",Manchester,CT,6040,31,7,2020,26,7,2012,21,7,2020,24,7,2020
Property,101.42,26000,Littleton,CO,80128,Y,38,54,Y,4,M,Mortgage,LI,High School,A,Minor Loss,Ambulance,1,1,AR,Fayetteville,10,AGENT00322,VNDR00205,Edgar Talley,2013-06-02,East Longmeadow,MA,1028,29678921,FBBJ92261917454231,"Parker, Hamilton and Garrett",Fayetteville,AR,72764,31,7,2020,31,7,2011,18,7,2020,23,7,2020
Travel,82.13,5000,Louisville,KY,40118,Y,50,22,Y,4,L,Mortgage,MI,Bachelor,A,Minor Loss,Ambulance,1,1,AK,Anchorage,6,AGENT00693,VNDR00058,Gerald Proctor,1991-06-26,Glendale,AZ,85304,61883143,EMJW57212535532687,Estrada PLC,Savannah,GA,31411,31,7,2020,19,12,2019,23,7,2020,26,7,2020
Life,71.65,24000,Arvada,CO,80004,Y,45,73,Y,4,M,Mortgage,MI,High School,A,Minor Loss,Police,1,1,CT,Manchester,12,AGENT00967,VNDR00204,Misti Garnes,2004-06-29,Arvada,CO,80002,111879036,NHMV54799955261174,Ray and Sons,Panama City,FL,32408,31,7,2020,19,2,2011,11,7,2020,16,7,2020
Life,92.16,34000,Linthicum Heights,MD,21090,Y,29,13,Y,7,M,Rent,MI,College,A,Minor Loss,Police,1,1,MA,Lynn,1,AGENT00758,VNDR00128,David Bernal,1994-10-06,Savannah,GA,31405,29499980,ISBH08519322964478,Tucker Inc,Manchester,CT,6042,31,7,2020,31,5,2013,14,7,2020,19,7,2020
Property,129.64,19000,Montgomery,AL,36110,Y,54,79,Y,6,M,Mortgage,LI,High School,A,Minor Loss,Police,1,1,OK,Edmond,15,AGENT00971,VNDR00058,Billy Caudill,2011-02-12,Louisville,KY,40243,10448351,IANM36092415011357,Estrada PLC,Savannah,GA,31411,31,7,2020,6,4,2014,25,7,2020,27,7,2020
Motor,95.85,1000,Arvada,CO,80003,Y,36,94,Y,2,L,Own,LI,High School,A,Major Loss,Police,1,1,AL,Montgomery,22,AGENT01011,VNDR00451,Gabriel Duenes,2008-04-13,Montgomery,AL,36105,93545831,BWAF86042010737099,"Hicks, Patton and Cook",Anchorage,AK,99507,31,7,2020,10,11,2010,23,7,2020,26,7,2020
Mobile,11.24,600,Anchorage,AK,99507,Y,29,61,Y,3,M,Own,MI,MD,A,Minor Loss,Other,1,1,AK,Anchorage,10,AGENT00904,VNDR00279,Pamela Moncivais,2015-10-02,Fayetteville,AR,72703,118125770,NHQM40505653330039,"Rodriguez, Anderson and Chambers",Glendale,AZ,85302,31,7,2020,18,7,2018,12,7,2020,17,7,2020
Mobile,8.95,200,Savannah,GA,31419,N,61,94,Y,4,M,Mortgage,MI,High School,A,Minor Loss,Ambulance,0,1,CA,Baldwin Park,10,AGENT00390,VNDR00325,Robert Pender,2008-08-10,Nashville,TN,37210,55804976,HGRF12804623651188,Sanders-Stark,Louisville,KY,40202,31,7,2020,2,6,2016,25,7,2020,27,7,2020
Motor,135.49,7000,Lynn Haven,FL,32444,Y,41,48,Y,6,L,Rent,MI,Bachelor,A,Total Loss,Police,0,1,GA,Savannah,19,AGENT00187,VNDR00242,Marilyn Ledford,1997-03-03,Glendale,AZ,85303,31572536,RLTH58433333832039,Hurley PLC,Montgomery,AL,36108,31,7,2020,18,12,2019,20,7,2020,25,7,2020
Mobile,9.32,600,Arvada,CO,80005,N,63,48,Y,7,M,Own,MI,College,A,Minor Loss,Ambulance,1,1,AL,Montgomery,22,AGENT00233,VNDR00254,Carol Battles,1991-02-03,Anchorage,AK,99502,96005860,NZHV11988621239028,Wilson-Kelly,Panama City,FL,32404,31,7,2020,11,12,2014,27,7,2020,28,7,2020
Mobile,6.62,700,Hinesburg,VT,5461,Y,47,105,Y,2,M,Mortgage,LI,College,A,Major Loss,Ambulance,0,1,TN,Nashville,6,AGENT00676,VNDR00078,Elizabeth Baeza,2017-12-15,Glendale,AZ,85301,79158200,FJIZ12270593266753,Young Ltd,Redding,CA,96003,1,8,2020,23,12,2014,22,7,2020,25,7,2020
Property,149.37,37000,Panama City Beach,FL,32413,Y,41,36,Y,7,L,Rent,MI,PhD,A,Total Loss,Other,1,0,MD,Glen Burnie,14,AGENT00526,VNDR00406,Doris Aragon,2004-11-14,Brookline,MA,2446,39861456,XEEZ66762920856584,Lawson PLC,Savannah,GA,31405,1,8,2020,19,12,2017,23,7,2020,26,7,2020
Mobile,9.08,300,Nashville,TN,37210,N,38,87,Y,7,L,Own,HI,College,A,Total Loss,Ambulance,1,1,FL,Panama City,2,AGENT01064,VNDR00167,Cynthia Kern,1994-05-03,Anchorage,AK,99567,114257215,IDZW43668733158045,Diaz Group,Arvada,CO,80002,1,8,2020,3,6,2015,16,7,2020,21,7,2020
Mobile,7.61,100,Ludlow,VT,5149,Y,29,67,Y,5,L,Rent,MI,High School,A,Major Loss,Ambulance,1,0,CO,Arvada,2,AGENT00161,VNDR00228,Michael Furnace,2017-09-17,Glen Burnie,MD,21060,36854495,SCNI85390333161952,"Bell, Hernandez and Reynolds",Edmond,OK,73012,1,8,2020,21,11,2015,12,7,2020,17,7,2020
Life,87.77,100000,Savannah,GA,31419,N,57,101,Y,2,M,Mortgage,MI,Bachelor,A,Minor Loss,Police,1,0,AR,Fayetteville,18,AGENT00834,VNDR00464,Joseph Wendt,1997-07-12,Manchester,CT,6042,98661192,VXMU53090406226326,"Spencer, Johnson and Blair",Washington,DC,20010,1,8,2020,5,9,2011,14,7,2020,19,7,2020
Mobile,7.15,400,Nashville,TN,37208,Y,40,82,Y,4,M,Mortgage,HI,College,D,Major Loss,Other,1,1,CO,Mountain Village,5,AGENT00885,VNDR00023,David Montes,1998-03-15,Bourne,MA,2532,66625270,LGBK05811090127269,Mckinney-Campbell,Louisville,KY,40219,1,8,2020,20,8,2012,13,7,2020,18,7,2020
Life,70.27,36000,Washington,DC,20008,N,59,79,Y,4,M,Mortgage,MI,High School,A,Total Loss,Police,0,0,VT,Washington,9,AGENT00426,VNDR00422,Alan Mcmanus,2009-01-18,Oklahoma City,OK,73112,67592409,KYSN26778057936347,"Martin, Cole and Williams",Arvada,CO,80007,1,8,2020,9,6,2016,30,7,2020,30,7,2020
Property,121.35,11000,Nashville,TN,37013,N,46,15,Y,3,H,Rent,HI,College,A,Total Loss,Ambulance,1,1,CO,Arvada,9,AGENT00050,VNDR00354,Barry Reynolds,2009-06-22,Oklahoma City,OK,73135,129787518,EZLV62055894696180,Stevens-Mills,Washington,DC,20011,1,8,2020,17,3,2017,27,7,2020,28,7,2020
Travel,77.16,1000,Nashville,TN,37220,Y,57,114,Y,2,M,Mortgage,HI,Bachelor,A,Total Loss,Ambulance,1,0,AZ,Glendale,21,AGENT00858,VNDR00343,Arthur Hurley,2000-10-04,Montgomery,AL,36109,111601408,VDJE50751529345390,Gray-Murray,Montgomery,AL,36105,1,8,2020,30,7,2017,14,7,2020,19,7,2020
Travel,71.34,2000,Farmington,AR,72730,Y,54,57,Y,3,L,Own,MI,Bachelor,A,Total Loss,Police,1,1,AL,Montgomery,4,AGENT00663,VNDR00191,Foster Rucker,1998-06-26,Baltimore,MD,21225,12712483,EXKI90620202756763,Armstrong-Ramirez,Manchester,CT,6040,1,8,2020,11,1,2020,31,7,2020,31,7,2020
Property,107.29,24000,Fremont,CA,94536,Y,52,18,Y,6,L,Rent,HI,High School,A,Total Loss,Ambulance,1,0,AR,Fayetteville,11,AGENT00398,VNDR00456,Sarah Roorda,2008-07-21,Fremont,CA,94538,73892504,MNXJ28627002467180,"Reyes, Joseph and Gutierrez",Lawrence,MA,1841,1,8,2020,17,4,2018,25,7,2020,27,7,2020
Mobile,8.85,200,Arvada,CO,80007,Y,27,48,Y,5,M,Mortgage,LI,Bachelor,A,Minor Loss,Ambulance,1,1,DC,Washington,2,AGENT00891,VNDR00448,Molly Hutchinson,2005-01-03,Louisville,KY,40222,123996677,ZZPF06066948153456,Jackson and Sons,Savannah,GA,31419,1,8,2020,23,7,2016,23,7,2020,26,7,2020
